|       | symbol   | companyName                                                                                                                                                      | currency   | exchange                     | exchangeShortName   | country   | state                     |
|    81 | JNK      | SPDR Bloomberg Barclays High Yield Bond ETF                                                                                                                      | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    82 | EWJ      | iShares MSCI Japan ETF                                                                                                                                           | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    83 | XLU      | Utilities Select Sector SPDR Fund                                                                                                                                | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    84 | SLB      | Schlumberger Limited                                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|    85 | FLEX     | Flex Ltd.                                                                                                                                                        | USD        | Nasdaq Global Select         | NASDAQ              | SG        |                           |
|    86 | FOXA     | Fox Corporation                                                                                                                                                  | USD        | Nasdaq Global Select         | NASDAQ              | US        | NEW YORK                  |
|    87 | ABBV     | AbbVie Inc.                                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | US        | ILLINOIS                  |
|    88 | GIS      | General Mills, Inc.                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | MINNESOTA                 |
|    89 | VZ       | Verizon Communications Inc.                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|    90 | XRX      | Xerox Holdings Corporation                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | US        | CONNECTICUT               |
|    91 | CVLT     | Commvault Systems, Inc.                                                                                                                                          | USD        | Nasdaq Global Select         | NASDAQ              | US        | NEW JERSEY                |
|    92 | X        | United States Steel Corporation                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | US        | PENNSYLVANIA              |
|    93 | MAT      | Mattel, Inc.                                                                                                                                                     | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|    94 | MIK      | Michaels Companies Inc                                                                                                                                           | USD        | Nasdaq Global Select         | NASDAQ              | US        | TEXAS                     |
|    95 | DVN      | Devon Energy Corporation                                                                                                                                         | USD        | New York Stock Exchange      | NYSE                | US        | OKLAHOMA                  |
|    96 | BKLN     | Invesco Senior Loan ETF                                                                                                                                          | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    97 | IBN      | ICICI Bank Limited                                                                                                                                               | USD        | New York Stock Exchange      | NYSE                | IN        |                           |
|    98 | MPC      | Marathon Petroleum Corporation                                                                                                                                   | USD        | New York Stock Exchange      | NYSE                | US        | OHIO                      |
|    99 | PM       | Philip Morris International Inc.                                                                                                                                 | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|   100 | MSCI     | MSCI Inc.                                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|   101 | RDN      | Radian Group Inc.                                                                                                                                                | USD        | New York Stock Exchange      | NYSE                | US        | PENNSYLVANIA              |
|   102 | KO       | The Coca-Cola Company                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | US        | GEORGIA                   |
|   103 | SRC      | Spirit Realty Capital, Inc.                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   104 | COP      | ConocoPhillips                                                                                                                                                   | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   105 | CHK      | Chesapeake Energy Corporation                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | US        |                           |
|   106 | DIS      | The Walt Disney Company                                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   107 | LEN      | Lennar Corporation                                                                                                                                               | USD        | New York Stock Exchange      | NYSE                | US        | FLORIDA                   |
|   108 | CVX      | Chevron Corporation                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   109 | PYPL     | PayPal Holdings, Inc.                                                                                                                                            | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
